Product,SKU,Supplier Code,Brand,Supplier,Type,Tag,Outlet,Current Stock,Stock Value,Item Value,Reorder Point,Reorder Amount
Boston Hooded Sweatshirt / Navy / Medium,60005,,Clearance,Alan Freedman Enterprises,022 Apparel > Sweatshirts > Hooded,,Basement,0,0,10,0,0
Boston Hooded Sweatshirt / Navy / Small,60004,,Clearance,Alan Freedman Enterprises,022 Apparel > Sweatshirts > Hooded,,Basement,0,0,10,0,0
Boston Hooded Sweatshirt / Navy / X-Large,60007,,Clearance,Alan Freedman Enterprises,022 Apparel > Sweatshirts > Hooded,,Basement,0,0,10,0,0
Boston Postcard,619,ARTS A,Clearance,Arts & Cards,"190 Accessories > Postcards, Photos",,Basement,-2,-0.2,0.1,0,0
Capri Fit Yoga Pants / L / Black,10442,,Clearance,Comprint,040 Apparel > Pants and Shorts,,Basement,-1,-12.81,12.81,0,0
Capri Fit Yoga Pants / M / Black,10441,,Clearance,Comprint,040 Apparel > Pants and Shorts,,Basement,0,0,12.81,0,0
Capri Fit Yoga Pants / S / Black,10440,,Clearance,Comprint,040 Apparel > Pants and Shorts,,Basement,0,0,12.81,0,0
Capri Fit Yoga Pants / XL / Black,10443,,Clearance,Comprint,040 Apparel > Pants and Shorts,,Basement,12,137.1,11.425,0,0
Classic H Hat / Crimson,11018,,2 Lifestyle Collection,Quality,030 Apparel > Hats,,Basement,67,361.74037,5.39911,0,0
Classic H Hat / Ivory,11019,,2 Lifestyle Collection,Quality,030 Apparel > Hats,,Basement,36,195.67548,5.43543,0,0
Classic Harvard Swiss Army Knife / Crimson,11020,,5 Accessories,Victorinox,180 Accessories > Other,,Basement,41,422.31271,10.30031,0,0
Clutch Wristlet / Black,10656,,5 Accessories,Bay State Apparel,180 Accessories > Other,,Basement,35,105,3,3,12
Clutch Wristlet / Crimson,10655,,5 Accessories,Bay State Apparel,180 Accessories > Other,,Basement,0,0,3,3,12
College Women Marching Photo,10614,,Clearance,ICONCEPT,"190 Accessories > Postcards, Photos",,Basement,0,0,7.55,0,0
Color Photo of Harvard Hall,10619,,Clearance,ICONCEPT,"190 Accessories > Postcards, Photos",,Basement,0,0,12.75,0,0
Color Photo of Johnson Gate,10618,,Clearance,ICONCEPT,"190 Accessories > Postcards, Photos",,Basement,0,0,12.75,0,0
Color Photo of Memorial Hall,10620,,Clearance,ICONCEPT,"190 Accessories > Postcards, Photos",,Basement,0,0,12.75,0,0
Cozy Full Zip Hoodie / L / Charcoal,2581,QUALIT,3 Classic Collection,Quality,023 Apparel > Sweatshirts > Zip,,Basement,57,1157.82618,20.31274,24,0
Cozy Full Zip Hoodie / L / Crimson,2577,QUALIT,3 Classic Collection,Quality,023 Apparel > Sweatshirts > Zip,,Basement,12,243.83784,20.31982,24,0
Cozy Full Zip Hoodie / M / Charcoal,2580,QUALIT,3 Classic Collection,Quality,023 Apparel > Sweatshirts > Zip,,Basement,0,0,20.32,24,0
Cozy Full Zip Hoodie / M / Crimson,2576,QUALIT,3 Classic Collection,Quality,023 Apparel > Sweatshirts > Zip,,Basement,-2,-41.52624,20.76312,24,0
Cozy Full Zip Hoodie / S / Charcoal,2579,QUALIT,3 Classic Collection,Quality,023 Apparel > Sweatshirts > Zip,,Basement,14,284.47902,20.31993,24,0
Cozy Full Zip Hoodie / S / Crimson,2575,QUALIT,3 Classic Collection,Quality,023 Apparel > Sweatshirts > Zip,,Basement,-1,-20.28,20.28,24,0
Cozy Full Zip Hoodie / XL / Charcoal,2582,QUALIT,3 Classic Collection,Quality,023 Apparel > Sweatshirts > Zip,,Basement,6,122.44884,20.40814,24,0
Cozy Full Zip Hoodie / XL / Crimson,2578,QUALIT,3 Classic Collection,Quality,023 Apparel > Sweatshirts > Zip,,Basement,-1,-20.46778,20.46778,24,0
Crest Speckled Mug / Crimson,10824,,6 Drinkware,Quality,210 Drinkware > Mugs,,Basement,18,83.92482,4.66249,0,0
Crest Spinner Keychain / Crimson,10860,,5 Accessories,LXG,110 Accessories > Keychains,,Basement,-95,-424.88655,4.47249,0,0
Crest Tote Bag,10681,,5 Accessories,Arts & Cards,150 Accessories > Bags,,Basement,102,178.5,1.75,12,36
Crest Travel Mug / Silver,10680,,6 Drinkware,Arts & Cards,240 Drinkware > Travel Mugs,,Basement,9,49.5,5.5,24,72
Crew Race between Harvard and Yale,10617,,Clearance,ICONCEPT,"190 Accessories > Postcards, Photos",,Basement,2,25.5,12.75,0,0
Crush Crew Sweater / Oxford / L,1743,OURAY,Clearance,Ouray,021 Apparel > Sweatshirts > Crewneck,,Basement,-2,-47.94,23.97,0,0
Crush Crew Sweater / Oxford / M,1742,OURAY,Clearance,Ouray,021 Apparel > Sweatshirts > Crewneck,,Basement,-2,-53.24,26.62,0,0
Crush Crew Sweater / Oxford / S,1741,OURAY,Clearance,Ouray,021 Apparel > Sweatshirts > Crewneck,,Basement,-2,-53.22,26.61,0,0
Crush Crew Sweater / Oxford / XL,1744,OURAY,Clearance,Ouray,021 Apparel > Sweatshirts > Crewneck,,Basement,-2,-51.54,25.77,0,0
Crush Crew Sweater / Pink / L,4917,OURAY,Clearance,Ouray,021 Apparel > Sweatshirts > Crewneck,,Basement,-2,-49.08,24.54,0,0
Crush Crew Sweater / Pink / M,4916,OURAY,Clearance,Ouray,021 Apparel > Sweatshirts > Crewneck,,Basement,-2,-56.78,28.39,0,0
Crush Crew Sweater / Pink / S,4915,OURAY,Clearance,Ouray,021 Apparel > Sweatshirts > Crewneck,,Basement,0,0,10,0,0
Crush Crew Sweater / Pink / XL,4918,OURAY,Clearance,Ouray,021 Apparel > Sweatshirts > Crewneck,,Basement,1,25.77,25.77,0,0
Crush Crew Sweater / Pink / XS,10498,OURAY,Clearance,Ouray,021 Apparel > Sweatshirts > Crewneck,,Basement,0,0,10,0,0
CS50 Men's T-Shirt / L / cranberry,CS50-7,,CS50,,"010 Apparel > T-shirts, Tanks",,Basement,0,0,9.95,0,0
CS50 Men's T-Shirt / M / cranberry,CS50-6,,CS50,,"010 Apparel > T-shirts, Tanks",,Basement,0,0,9.95,0,0
CS50 Men's T-Shirt / S / cranberry,CS50-5,,CS50,,"010 Apparel > T-shirts, Tanks",,Basement,2,19.9,9.95,0,0
CS50 Men's T-Shirt / XL / cranberry,CS50-8,,CS50,,"010 Apparel > T-shirts, Tanks",,Basement,0,0,9.95,0,0
CS50 Pen,CS50-13,,CS50,CS50,130 Accessories > Stationery,,Basement,0,0,1.39,0,0
CS50 Proud T-Shirt / L  / Crimson / Women's,10873,,CS50,CS50,"010 Apparel > T-shirts, Tanks",,Basement,6,72,12,0,0
CS50 Proud T-Shirt / L  / Navy / Men's,10877,,CS50,CS50,"010 Apparel > T-shirts, Tanks",,Basement,0,0,12,0,0
CS50 Proud T-Shirt / L  / Navy / Women's,10881,,CS50,CS50,"010 Apparel > T-shirts, Tanks",,Basement,6,72,12,0,0
CS50 Proud T-Shirt / L / Crimson / Men's,10783,,CS50,CS50,"010 Apparel > T-shirts, Tanks",,Basement,0,0,12,0,0
CS50 Proud T-Shirt / M / Crimson / Men's,10782,,CS50,CS50,"010 Apparel > T-shirts, Tanks",,Basement,5,60,12,0,0
CS50 Proud T-Shirt / M / Crimson / Women's,10872,,CS50,CS50,"010 Apparel > T-shirts, Tanks",,Basement,1,12,12,0,0
CS50 Proud T-Shirt / M / Navy / Men's,10876,,CS50,CS50,"010 Apparel > T-shirts, Tanks",,Basement,4,48,12,0,0
CS50 Proud T-Shirt / M / Navy / Women's,10880,,CS50,CS50,"010 Apparel > T-shirts, Tanks",,Basement,5,60,12,0,0
CS50 Proud T-Shirt / S / Crimson / Men's,10781,,CS50,CS50,"010 Apparel > T-shirts, Tanks",,Basement,6,72,12,0,0
CS50 Proud T-Shirt / S / Crimson / Women's,10871,,CS50,CS50,"010 Apparel > T-shirts, Tanks",,Basement,2,24,12,0,0
CS50 Proud T-Shirt / S / Navy / Men's,10875,,CS50,CS50,"010 Apparel > T-shirts, Tanks",,Basement,5,60,12,0,0
CS50 Proud T-Shirt / S / Navy / Women's,10879,,CS50,CS50,"010 Apparel > T-shirts, Tanks",,Basement,4,48,12,0,0
CS50 Proud T-Shirt / XL / Crimson / Men's,10784,,CS50,CS50,"010 Apparel > T-shirts, Tanks",,Basement,4,48,12,0,0
CS50 Proud T-Shirt / XL / Crimson / Women's,10874,,CS50,CS50,"010 Apparel > T-shirts, Tanks",,Basement,5,60,12,0,0
CS50 Proud T-Shirt / XL / Navy / Men's,10878,,CS50,CS50,"010 Apparel > T-shirts, Tanks",,Basement,2,24,12,0,0
CS50 Proud T-Shirt / XL / Navy / Women's,10882,,CS50,CS50,"010 Apparel > T-shirts, Tanks",,Basement,6,72,12,0,0
CS50 Puzzle Day T-shirt / L / Crimson / Men's,10767,,CS50,CS50,"010 Apparel > T-shirts, Tanks",,Basement,0,0,0,0,0
CS50 Puzzle Day T-shirt / L / Crimson / Women's,10791,,CS50,CS50,"010 Apparel > T-shirts, Tanks",,Basement,18,216,12,0,0
CS50 Puzzle Day T-shirt / L / Green / Men's,11230,,CS50,CS50,"010 Apparel > T-shirts, Tanks",,Basement,6,72,12,0,0
CS50 Puzzle Day T-shirt / L / Green / Women's,11234,,CS50,CS50,"010 Apparel > T-shirts, Tanks",,Basement,6,72,12,0,0
CS50 Puzzle Day T-shirt / L / Navy / Men's,10771,,CS50,CS50,"010 Apparel > T-shirts, Tanks",,Basement,0,0,12,0,0
CS50 Puzzle Day T-shirt / L / Navy / Women's,10795,,CS50,CS50,"010 Apparel > T-shirts, Tanks",,Basement,6,72,12,0,0
CS50 Puzzle Day T-shirt / M / Crimson / Men's,10766,,CS50,CS50,"010 Apparel > T-shirts, Tanks",,Basement,10,120,12,0,0
CS50 Puzzle Day T-shirt / M / Crimson / Women's,10790,,CS50,CS50,"010 Apparel > T-shirts, Tanks",,Basement,9,108,12,0,0
CS50 Puzzle Day T-shirt / M / Green / Men's,11229,,CS50,CS50,"010 Apparel > T-shirts, Tanks",,Basement,6,72,12,0,0
CS50 Puzzle Day T-shirt / M / Green / Women's,11233,,CS50,CS50,"010 Apparel > T-shirts, Tanks",,Basement,6,72,12,0,0
CS50 Puzzle Day T-shirt / M / Navy / Men's,10770,,CS50,CS50,"010 Apparel > T-shirts, Tanks",,Basement,4,38.4,9.6,0,0
CS50 Puzzle Day T-shirt / M / Navy / Women's,10794,,CS50,CS50,"010 Apparel > T-shirts, Tanks",,Basement,6,72,12,0,0
CS50 Puzzle Day T-shirt / S / Crimson / Men's,10765,,CS50,CS50,"010 Apparel > T-shirts, Tanks",,Basement,4,48,12,0,0
CS50 Puzzle Day T-shirt / S / Crimson / Women's,10789,,CS50,CS50,"010 Apparel > T-shirts, Tanks",,Basement,0,0,12,0,0
CS50 Puzzle Day T-shirt / S / Green / Men's,11228,,CS50,CS50,"010 Apparel > T-shirts, Tanks",,Basement,6,72,12,0,0
CS50 Puzzle Day T-shirt / S / Green / Women's,11232,,CS50,CS50,"010 Apparel > T-shirts, Tanks",,Basement,6,72,12,0,0
CS50 Puzzle Day T-shirt / S / Navy / Men's,10769,,CS50,CS50,"010 Apparel > T-shirts, Tanks",,Basement,4,48,12,0,0
CS50 Puzzle Day T-shirt / S / Navy / Women's,10793,,CS50,CS50,"010 Apparel > T-shirts, Tanks",,Basement,4,48,12,0,0
CS50 Puzzle Day T-shirt / XL / Crimson / Men's,10768,,CS50,CS50,"010 Apparel > T-shirts, Tanks",,Basement,0,0,12,0,0
CS50 Puzzle Day T-shirt / XL / Crimson / Women's,10792,,CS50,CS50,"010 Apparel > T-shirts, Tanks",,Basement,12,144,12,0,0
CS50 Puzzle Day T-shirt / XL / Green / Men's,11231,,CS50,CS50,"010 Apparel > T-shirts, Tanks",,Basement,6,72,12,0,0
CS50 Puzzle Day T-shirt / XL / Green / Women's,11235,,CS50,CS50,"010 Apparel > T-shirts, Tanks",,Basement,6,72,12,0,0
