Product,SKU,Supplier Code,Brand,Supplier,Type,Tag,Outlet,Current Stock,Stock Value,Item Value,Reorder Point,Reorder Amount
Harvard Mom T-shirt / Crimson / L,10799,,3 Classic Collection,Quality,"010 Apparel > T-shirts, Tanks",,JFK,0,0,5.07,0,0
Harvard Mom T-shirt / Crimson / M,10798,,3 Classic Collection,Quality,"010 Apparel > T-shirts, Tanks",,JFK,0,0,5.07,0,0
Harvard Mom T-shirt / Crimson / S,10797,,3 Classic Collection,Quality,"010 Apparel > T-shirts, Tanks",,JFK,-1,-5,5,0,0
Harvard Mom T-shirt / Crimson / XL,10800,,3 Classic Collection,Quality,"010 Apparel > T-shirts, Tanks",,JFK,0,0,5.07,0,0
Harvard Mom Tee / L / Crimson,380,COMPRI,Clearance,Comprint,"010 Apparel > T-shirts, Tanks",,JFK,0,0,3.62,2,2
Harvard Mom Tee / L / Oxford,2428,COMPRI,Clearance,Comprint,"010 Apparel > T-shirts, Tanks",,JFK,0,0,3.62,2,2
Harvard Mom Tee / M / Crimson,379,COMPRI,Clearance,Comprint,"010 Apparel > T-shirts, Tanks",,JFK,0,0,3.62,2,2
Harvard Mom Tee / M / Oxford,2427,COMPRI,Clearance,Comprint,"010 Apparel > T-shirts, Tanks",,JFK,0,0,3.62,2,2
Harvard Mom Tee / S / Crimson,374,COMPRI,Clearance,Comprint,"010 Apparel > T-shirts, Tanks",,JFK,0,0,3.62,2,2
Harvard Mom Tee / S / Oxford,371,COMPRI,Clearance,Comprint,"010 Apparel > T-shirts, Tanks",,JFK,0,0,3.62,2,2
Harvard Mom Tee / XL / Crimson,383,COMPRI,Clearance,Comprint,"010 Apparel > T-shirts, Tanks",,JFK,0,0,3.62,2,2
Harvard Mom Tee / XL / Oxford,381,COMPRI,Clearance,Comprint,"010 Apparel > T-shirts, Tanks",,JFK,0,0,3.02,2,2
Harvard Mom Tee / XXL / Crimson,384,COMPRI,Clearance,Comprint,"010 Apparel > T-shirts, Tanks",,JFK,0,0,5.77,2,2
Harvard Mom Tee / XXL / Oxford,382,COMPRI,Clearance,Comprint,"010 Apparel > T-shirts, Tanks",,JFK,0,0,5.22,2,2
Harvard Mug / White,829,,6 Drinkware,RFSJ,210 Drinkware > Mugs,,JFK,1,4.20553,4.20553,7,7
Harvard Notebook / Crimson,3841,ROARIN,5 Accessories,Roaring Springs,130 Accessories > Stationery,,JFK,0,0,1.77471,6,6
Harvard Overalls / Crimson / 12M,10941,,"7 Youth, Toddler, Infant",Creative Knitwear,"080 Apparel > Onesies, Infantwear",,JFK,0,0,13.25,0,0
