id,handle,sku,name,variant_option_one_name,variant_option_one_value,variant_option_two_name,variant_option_two_value,variant_option_three_name,variant_option_three_value,supplier_name,active
b678a5f6-6c0c-11e2-b1f5-4040782fde00,vineyard-vines-shep-shirt,3214,Ladies Vineyard Vines Shep Shirt,Color,Navy,Size,L,,,Vineyard Vines,1
b6af2066-6c0c-11e2-b1f5-4040782fde00,vineyard-vines-shep-shirt,3215,Ladies Vineyard Vines Shep Shirt,Color,Navy,Size,XL,,,Vineyard Vines,1
b6bb5f23-6c0c-11e2-b1f5-4040782fde00,youth-harvard-crest-hooded-sweatshirt,3175,Youth Harvard Crest Hooded Sweatshirt,Color,Crimson,Size,YS,,,Quality,1
5ed4a72c-b747-11e2-a415-bc764e10976c,youth-harvard-crest-hooded-sweatshirt,10101,Youth Harvard Crest Hooded Sweatshirt,Color,Oxford,Size,YS,,,Quality,1
6dbfb06a-b747-11e2-a415-bc764e10976c,youth-harvard-crest-hooded-sweatshirt,10102,Youth Harvard Crest Hooded Sweatshirt,Color,Oxford,Size,YM,,,Quality,1
7c01ccdb-b747-11e2-a415-bc764e10976c,youth-harvard-crest-hooded-sweatshirt,10103,Youth Harvard Crest Hooded Sweatshirt,Color,Oxford,Size,YL,,,Quality,1
8a193954-b747-11e2-a415-bc764e10976c,youth-harvard-crest-hooded-sweatshirt,10104,Youth Harvard Crest Hooded Sweatshirt,Color,Oxford,Size,YXL,,,Quality,1
b7a1dcad-6c0c-11e2-b1f5-4040782fde00,youth-harvard-crest-hooded-sweatshirt,3176,Youth Harvard Crest Hooded Sweatshirt,Color,Crimson,Size,YM,,,Quality,1
b866e35f-6c0c-11e2-b1f5-4040782fde00,youth-harvard-crest-hooded-sweatshirt,3177,Youth Harvard Crest Hooded Sweatshirt,Color,Crimson,Size,YL,,,Quality,1
b91424bc-6c0c-11e2-b1f5-4040782fde00,youth-harvard-crest-hooded-sweatshirt,3178,Youth Harvard Crest Hooded Sweatshirt,Color,Crimson,Size,YXL,,,Quality,1
b7419761-e8c6-1af1-8a24-1eb604e29716,HarvardBottleOpener,11273,Harvard Bottle Opener,Colour,Crimson,,,,,Pin Badge Maker Company,1
b8ca3a65-013d-11e4-f728-ede1eea43fdb,YouthHHat,10463,[DISCONTINUED] Youth H Hat,,,,,,,Legacy,0
b8ca3a65-013d-11e4-fbb5-27d75c84bbb2,HarvardDuffleBag,10350,Harvard Duffle Bag,,,,,,,Legacy,0
